Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close,Salary
"Rich Peverley","Dallas","Center","62","7","23","30","688","698","-10","-2.1","-3.6","8","-30","12","0","3250000"
"Jamie Benn","Dallas","Left Wing","81","34","45","79","1152","1068","84","1.7","3.3","46","-20","58","49","5250000"
"Alex Chiasson","Dallas","Right Wing","79","13","22","35","766","779","-13","-1.5","-1.7","12","-57","32","-9","866667"
"Kevin Connauton","Dallas","Defense","36","1","7","8","488","492","-4","-0.2","-0.4","-10","-19","25","7","683333"
"Jordie Benn","Dallas","Defense","78","3","17","20","1187","1161","26","0.4","1","29","-49","46","17","700000"
"Ryan Garbutt","Dallas","Left Wing","75","17","15","32","845","791","54","2.3","4.3","4","-10","60","8","575000"
"Brenden Dillon","Dallas","Defense","80","6","11","17","1348","1303","45","0.5","1.6","13","-62","94","79","743333"
"Stephane Robidas","Dallas","Defense","38","5","5","10","372","357","15","0.3","0.9","15","-19","19","5","null"
"Cody Eakin","Dallas","Center","81","16","19","35","989","942","47","0.8","2","34","-30","43","56","572778"
"Ray Whitney","Dallas","Left Wing","69","9","23","32","669","661","8","0","0.5","-15","-5","28","47","4500000"
"Vernon Fiddler","Dallas","Center","76","6","17","23","718","776","-58","-3","-4.5","-29","-66","37","-31","1800000"
"Trevor Daley","Dallas","Defense","67","9","16","25","1075","1034","41","0.8","1.7","6","-20","55","11","3300000"
"Erik Cole","Dallas","Left Wing","75","16","13","29","828","851","-23","-2","-3.2","-5","-51","33","-23","4500000"
"Valeri Nichushkin","Dallas","Right Wing","79","14","20","34","1013","982","31","0.8","1.6","26","-46","51","63","925000"
"Colton Sceviour","Dallas","Center","26","8","4","12","292","298","-6","1.2","2.1","-8","3","-1","2","166154"
"Tyler Seguin","Dallas","Center","80","37","47","84","1179","1078","101","2.2","3.9","37","-15","79","47","5750000"
"Shawn Horcoff","Dallas","Center","77","7","13","20","717","748","-31","-2.2","-2.9","-11","-64","44","20","5500000"
"Antoine Roussel","Dallas","Left Wing","81","14","15","29","932","855","77","2.1","4.3","37","-21","61","8","612500"
"Dustin Jeffrey","Dallas","Center","34","2","2","4","180","187","-7","-1.9","-2.9","-4","-27","24","8","310897"
"Aaron Rome","Dallas","Defense","25","0","1","1","275","286","-11","-3.6","-6","18","-15","-14","-4","1428846"
"Sergei Gonchar","Dallas","Defense","76","2","20","22","1024","1070","-46","-2.1","-3.1","-2","-49","5","-21","5000000"
"Alex Goligoski","Dallas","Defense","81","6","36","42","1315","1274","41","0.4","1.3","11","-72","102","48","4600000"
