Pos.Position,2014 Cap Dollars
"Peter Budaj","$1,400,000"
"Brandon Prust","$2,500,000"
"P.K. Subban","$2,875,000"
"Ryan White","$700,000"
"Tomas Plekanec","$5,000,000"
"Francis Bouillon","$1,500,000"
"Alex Galchenyuk","$925,000"
"Rene Bourque","$3,333,333"
"Mike Weaver","$231,282"
"Daniel Briere","$4,000,000"
"Dustin Tokarski","$76,667"
"Brian Gionta","$5,000,000"
"DDefenseman","$18,073,051"
"Alexei Emelin","$2,000,000"
"David Desharnais","$3,500,000"
"George Parros","$937,500"
"CCenter","$9,825,000"
"Jarred Tinordi","$316,769"
"Carey Price","$6,500,000"
"Max Pacioretty","$4,500,000"
"LWLeft Wing","$14,947,820"
"Lars Eller","$1,325,000"
"Douglas Murray","$1,500,000"
"FForward","$37,258,718"
"Josh Gorges","$3,900,000"
"Michael Bournival","$660,000"
"RWRight Wing","$12,485,898"
"Andrei Markov","$5,750,000"
"Brendan Gallagher","$685,000"
"Dale Weise","$269,231"
"Brett Ritchie","$894,167"
"GGoaltender","$7,976,667"
"Travis Moen","$1,850,000"
"Thomas Vanek","$1,179,487"
